id;title;cinematografia_num;narrativa_impact_num;reconhe_buzz_num;marketing_num;elegibilidade_num;atuacao_num;genero;cinematografia;narrativa_impact;reconhe_buzz;marketing_visbilidade;elegibilidade_Timing;atuacao;;;;
;O Pagador de Promessas;9.5;9.5;10;8.5;9.0;9.5;Drama;O filme é um exemplo de alta qualidade técnica e artística. O roteiro de Dias Gomes é universal, a direção de Anselmo Duarte é sensível e a atuação de Leonardo Villar é icônica. A cinematografia em preto e branco de Affonso Beato e a edição eficaz contribuem para uma obra coesa e impactante, validando-o como artisticamente notável.;história de Zé do Burro ressoou profundamente, abordando temas universais como fé popular, dignidade, fanatismo e intolerância institucional. Sua originalidade e profundidade emocional o tornaram um filme com forte relevância social, conectando-se com a experiência humana de fé e sacrifício.;história de Zé do Burro ressoou profundamente, abordando temas universais como fé popular, dignidade, fanatismo e intolerância institucional. Sua originalidade e profundidade emocional o tornaram um filme com forte relevância social, conectando-se com a experiência humana de fé e sacrifício.;"Impulsionada pela Palma de Ouro, a campanha de marketing foi estratégica ao capitalizar o sucesso de Cannes para garantir visibilidade junto aos votantes da Academia. Embora com recursos limitados, o prêmio em si atuou como um poderoso material de ""For Your Consideration"", elevando o perfil do filme.";O filme cumpriu todas as regras de elegibilidade para o Oscar, com seu lançamento em 1962 e indicação em 1963. Seu timing foi favorável, alinhado com o crescente interesse da Academia por filmes de autor internacionais e temáticas sociais relevantes da década de 1960.;A atuação de Leonardo Villar como Zé do Burro é extraordinária e central. Ele transmite com maestria a pureza, a teimosia e a devoção do personagem, sustentando a complexidade emocional da trama. O elenco de apoio também entrega performances autênticas que enriquecem o realismo e o drama da história.;;;;
;Divorzio all'italiana (Divórcio à Italiana);9.0;9.0;9.5;9.0;9.5;9.5;Comédia;Comédia de humor negro aclamada, com direção afiada de Pietro Germi. O roteiro satírico é brilhante, explorando costumes sociais e a hipocrisia. A atuação de Marcello Mastroianni é icônica e a cinematografia em preto e branco reforça o tom.;Narrativa astuta que critica a moralidade italiana da época e a ausência do divórcio. Embora com humor, toca em temas sérios como feminicídio e a liberdade individual, ressoando com o público por sua originalidade e perspicácia.;Teve grande sucesso de crítica e público. Mastroianni ganhou o prêmio de Melhor Ator em Cannes, e o filme foi muito elogiado, gerando um buzz significativo antes do Oscar. Foi um dos filmes italianos mais comentados da época.;"Distribuído pela Vides Cinematografica na Itália e pela Embassy Pictures nos EUA, contou com Marcello Mastroianni como um forte ""rosto"" para a campanha. A aclamação da crítica e os prêmios prévios foram bem explorados para visibilidade e FYC.";"Lançado em 1961, cumpriu os critérios de elegibilidade. Seu timing foi excelente, capitalizando a ""commedia all'italiana"" que estava em alta e o crescente interesse por filmes europeus com crítica social inteligente, sendo um forte candidato.";Marcello Mastroianni entrega uma performance memorável, cheia de nuances cômicas e dramáticas, que lhe rendeu uma indicação ao Oscar de Melhor Ator (além de ter vencido em Cannes). Daniela Rocca e Stefania Sandrelli também brilham em seus papéis, complementando o tom satírico.;;;;
;Les dimanches de Ville d'Avray (Sinfonia de um Amor);8.5;8.8;9.0;8.5;9.0;9.0;Drama;O filme é artisticamente ambicioso, com uma cinematografia poética e visualmente impactante, em preto e branco. A direção de Serge Bourguignon é sensível, explorando a complexidade psicológica dos personagens. A edição e o design de som são elogiados por criar uma atmosfera etérea.;A narrativa explora temas delicados como trauma, inocência, a solidão e a natureza da pureza versus a percepção social. A relação entre Pierre e Françoise é profundamente emocional e provocadora, gerando discussões sobre as convenções morais e a incompreensão.;"O filme ganhou o Oscar, o que por si só gerou um enorme buzz e reconhecimento internacional, superando adversários fortes. Antes disso, pode não ter tido o mesmo ""buzz"" de Cannes que ""O Pagador de Promessas"" ou ""Divórcio à Italiana"", mas sua vitória no Oscar cimentou seu status.";A campanha focou na sua profundidade emocional e na beleza visual. Sua temática sensível exigia uma abordagem cuidadosa, e a qualidade artística foi o principal argumento de FYC, culminando na vitória.;umpriu os requisitos de elegibilidade. O timing foi favorável para filmes com narrativas emocionais e temas psicológicos complexos, que atraíam a Academia na época.;Hardy Krüger entrega uma performance contida e expressiva, transmitindo o sofrimento e a gentileza de Pierre. Patricia Gozzi é reveladora como Françoise, com uma atuação cheia de inocência e sabedoria que é central para a emoção do filme. A química entre os dois é convincente e delicada.;;;;
;Elektra (Electra);8.5;8.8; 8.0;7.5;8.5;9.0;Drama;O filme é uma adaptação cinematográfica poderosa de uma tragédia clássica. A direção de Michael Cacoyannis é grandiosa e estilizada, com uma cinematografia em preto e branco que realça o drama e o desespero. O design de produção e o uso da paisagem grega contribuem para uma estética imponente e autêntica.;A narrativa se baseia em uma das mais impactantes histórias da mitologia grega, explorando temas universais de vingança, justiça, culpa e o destino trágico. A intensidade emocional e a relevância duradoura da tragédia grega ressoam profundamente.;"Obteve sucesso em festivais, sendo exibido em Cannes. Aclamado pela crítica por sua fidelidade à tragédia original e pela atuação intensa, gerou um ""buzz"" significativo no circuito de filmes de arte e entre os apreciadores de dramas clássicos.";A campanha de visibilidade provavelmente focou na sua grandiosidade estética e na força da história clássica, além da atuação de Irene Papas. Direcionado a um público que valoriza adaptações literárias e dramas intensos.;Atendeu aos critérios de elegibilidade. O timing foi favorável para obras que reinterpretavam clássicos com uma visão moderna e impactante, o que era apreciado na época.;Irene Papas entrega uma performance monumental como Elektra, expressando a dor, a fúria e a determinação da personagem com uma intensidade visceral. É uma atuação marcante que carrega grande parte do peso dramático do filme, sendo amplamente elogiada.;;;;
;Tlayucan;8.0;8.5;7.0;7.0;8.0;8.0;Drama;O filme apresenta uma cinematografia que captura a autenticidade da vida rural mexicana, com paisagens que complementam a narrativa. A direção de Luis Alcoriza é eficaz em construir um drama humanista com toques de comédia. A edição contribui para um ritmo envolvente, e a produção é realista para o contexto.;A narrativa é uma fábula moral sobre fé, pobreza, sacrifício e a comunidade. Explora a hipocrisia e a compaixão humana em face do desespero, ressoando por sua universalidade e a representação honesta do cotidiano. É uma história que inspira reflexão sobre julgamento e perdão.;"Recebeu aclamação no México e participou de alguns festivais, mas provavelmente não teve o mesmo ""buzz"" internacional de Cannes ou Veneza que alguns de seus concorrentes. Sua indicação ao Oscar já foi um reconhecimento significativo.";A campanha de marketing, para um filme mexicano da época, provavelmente se baseou na sua temática humanista e no apelo de sua história de superação. A indicação ao Oscar foi a principal ferramenta de visibilidade para o público internacional.;Cumpriu os requisitos de elegibilidade. O timing foi favorável para filmes que abordavam realidades sociais e culturais específicas, com uma sensibilidade universal, algo valorizado na categoria de Filme Estrangeiro.;O elenco entrega atuações convincentes, com destaque para a figura central de Eufemio, que transmite o desespero e a ingenuidade de seu personagem. As performances coletivas do elenco refletem bem a dinâmica e os valores da comunidade rural.;;;;
;;;;;;;;;;;;;;;;;;
67617;O Quatrilho;9;8.5;9.5;7.5;9;9;Drama e Romance;O filme é reconhecido pela alta qualidade de sua produção, incluindo direção de Fábio Barreto, atuações elogiadas (especialmente Glória Pires e Patrícia Pillar), além de um design de produção e figurinos que recriam com esmero a época e o ambiente dos imigrantes italianos no sul do Brasil. A cinematografia e a trilha sonora também são pontos altos, contribuindo para a aclamação técnica e artística que levou à indicação ao Oscar.;Baseado na obra de José Clemente Pozenato, o filme apresenta uma narrativa envolvente sobre amor, traição, tradições e as complexas relações humanas em uma comunidade de imigrantes. Os temas de escolhas difíceis, a busca pela felicidade e a adaptação cultural ressoam com profundidade emocional, conectando-se com a experiência humana e a história da imigração no Brasil.;"O maior reconhecimento foi, sem dúvida, sua indicação ao Oscar de Melhor Filme Estrangeiro em 1996, um feito raro para o cinema brasileiro. Essa indicação gerou um ""buzz"" significativo tanto nacional quanto internacionalmente, colocando o filme em destaque e atraindo a atenção da crítica e do público.";"A família Barreto, produtora do filme, investiu ativamente na promoção de ""O Quatrilho"" nos Estados Unidos, incluindo exibições e material de divulgação para os membros da Academia. Embora modesta para os padrões de grandes estúdios, essa campanha foi crucial e bem-sucedida, culminando na importante indicação ao Oscar.";O filme cumpriu todas as regras de elegibilidade da Academia para ser indicado em 1996. Lançado no Brasil em 1995, sua campanha e exibição nos EUA foram programadas para coincidir com a temporada de premiações, garantindo que estivesse fresco na memória dos votantes, o que se provou eficaz para a nomeação.;"As atuações em ""O Quatrilho"" são consistentemente apontadas como um dos maiores trunfos do filme. Glória Pires (Pierina) e Patrícia Pillar (Teresa) entregam performances memoráveis e intensas, transmitindo com profundidade as complexidades emocionais de suas personagens, seus dilemas e transformações. Bruno Campos (Massimo) e Alexandre Paternost (Angelo) também complementam o quarteto principal com solidez.";;;;
880;A Excêntrica Família de Antônia;9;9.5;9.0;7.5;9.5;9.0;Comédia Dramática;A cinematografia de Willy Stassen é excelente, misturando realismo bucólico com toques de realismo mágico. Destaca-se pela beleza visual, composições pictóricas, uso magistral da luz natural e a forma respeitosa e íntima como retrata as personagens femininas, aprofundando a emoção do filme.;A narrativa é uma saga familiar cativante e rica em detalhes, contada de forma não linear por gerações de mulheres. O roteiro de Marleen Gorris transita entre comédia e drama, abordando temas como independência, amor, morte e liberdade com franqueza e humanidade.;O filme obteve imenso reconhecimento, impulsionado pela vitória do Oscar de Melhor Filme Estrangeiro. Isso gerou um grande buzz global e ampliou significativamente sua visibilidade e o alcance de seu marketing, que se beneficiou do prestígio dos prêmios e do boca a boca positivo.;Altamente elegível para prêmios e festivais, o filme foi a escolha da Holanda para o Oscar, onde venceu. Seu sucesso também se deveu ao timing perfeito, pois ressoou com o crescente interesse por narrativas femininas fortes e diversas no cinema global dos anos 90.;Altamente elegível para prêmios e festivais, o filme foi a escolha da Holanda para o Oscar, onde venceu. Seu sucesso também se deveu ao timing perfeito, pois ressoou com o crescente interesse por narrativas femininas fortes e diversas no cinema global dos anos 90.;As atuações são excelentes, com Willeke van Ammelrooy entregando uma performance magnética como Antônia. O elenco de apoio também é notável, construindo personagens vibrantes e críveis com uma química forte, o que adiciona autenticidade e profundidade às relações.;;;;
27098;All Things Fair;8.5;9;9;7.5;9;9;Drama;Dirigido pelo renomado Bo Widerberg, o filme é elogiado por sua bela cinematografia, que captura tanto a intimidade dos personagens quanto o ambiente da Suécia durante a Segunda Guerra Mundial. A direção de Widerberg é sensível ao explorar um tema delicado. A reconstituição de época e os aspectos técnicos são considerados competentes, contribuindo para a indicação ao Oscar de Melhor Filme Estrangeiro.;O filme aborda a controversa e complexa relação amorosa entre um estudante de 15 anos e sua professora de 37, tendo como pano de fundo a Segunda Guerra Mundial. A narrativa explora temas como o despertar sexual, a perda da inocência, o tabu social, o poder e a solidão. Sua abordagem direta e emocional de um tema difícil gerou discussões e certamente impactou os votantes da Academia pela sua ousadia e profundidade psicológica.;"A indicação ao Oscar de Melhor Filme Estrangeiro em 1996 foi o principal reconhecimento internacional, gerando um ""buzz"" significativo. Além disso, o filme ganhou o Urso de Prata (Contribuição Artística Individual para Bo Widerberg) e foi indicado ao Urso de Ouro no Festival de Berlim de 1996. No Guldbagge Awards (principal prêmio do cinema sueco), ganhou como Melhor Filme, Melhor Diretor e Melhor Ator Coadjuvante. Esses prêmios anteriores solidificaram sua reputação.";Como representante oficial da Suécia para o Oscar, o filme certamente teve uma campanha de divulgação direcionada aos membros da Academia, organizada pelo instituto de cinema sueco e/ou seus distribuidores internacionais. Detalhes específicos sobre a campanha no Brasil são escassos, mas a própria indicação sugere que a visibilidade internacional foi eficaz o suficiente para garantir a nomeação entre os cinco finalistas.;Lançado na Suécia em 1995, o filme cumpriu os critérios de elegibilidade para ser considerado para o Oscar de Melhor Filme Estrangeiro de 1996. Seu lançamento e subsequente campanha em festivais e para a Academia foram bem programados para mantê-lo relevante durante a temporada de premiações.;As atuações são um ponto forte do filme. Johan Widerberg (filho do diretor, no papel do estudante Stig) e Marika Lagercrantz (como a professora Viola) entregam performances convincentes e corajosas, explorando a complexidade e a vulnerabilidade de seus personagens em uma relação proibida. A química e a tensão entre os dois são palpáveis e cruciais para o impacto do filme. Tomas von Brömssen também foi reconhecido com o Guldbagge de Melhor Ator Coadjuvante.;;;;
124617;Dust of Life;7.5;9;8;7;9;8.5;Drama;"O filme de Rachid Bouchareb é notável por sua abordagem realista e direção que busca imergir o espectador na dura realidade dos campos de ""reeducação"" no Vietnã pós-guerra para crianças filhas de soldados americanos e mulheres vietnamitas. A cinematografia e o design de produção são eficazes em transmitir a austeridade e a opressão do ambiente. Embora talvez não com o mesmo polimento técnico de produções de grande orçamento, sua força reside na autenticidade e no olhar humanista da direção.";A narrativa é poderosa e comovente, focando na luta pela sobrevivência e pela identidade de crianças marginalizadas em um contexto histórico brutal. Aborda temas como abandono, resiliência infantil, os horrores da guerra e suas consequências, e a busca por liberdade. A história, baseada em fatos reais, tem um forte impacto emocional e relevância social ao dar voz a vítimas esquecidas.;"A indicação ao Oscar de Melhor Filme Estrangeiro foi o seu maior reconhecimento internacional, gerando o principal ""buzz"" em torno do filme. Embora não tenha acumulado uma vasta lista de prêmios em grandes festivais como outros indicados, a própria nomeação pela Academia já o colocou em um patamar de destaque global.";"Como filme representante da Argélia, ""Dust of Life"" contou com o apoio de órgãos de fomento e distribuidores para sua campanha ao Oscar. O esforço para garantir que os membros da Academia assistissem a um filme com uma temática tão específica e de uma cinematografia menos proeminente globalmente foi essencial para a nomeação. Detalhes específicos da campanha são menos documentados publicamente.";Lançado em 1995, o filme cumpriu os requisitos de elegibilidade para concorrer ao Oscar de 1996. Seu lançamento e a submissão pela Argélia foram feitos dentro do cronograma da Academia, permitindo que fosse considerado e, por fim, nomeado.;O filme se destaca pelas performances naturalistas de seu jovem elenco, muitos dos quais não eram atores profissionais. Essa escolha contribui para a autenticidade e o impacto emocional da história. As crianças transmitem com veracidade o sofrimento, a esperança e a resiliência de seus personagens. A direção de Bouchareb foi fundamental para extrair essas atuações genuínas.;;;;
37975;O Homem das Estrelas;8.5;9.0;8.0;8.0;9.0;9.0;Drama;A cinematografia de Dante Spinotti é marcante, capturando a beleza árida da Sicília pós-guerra. Utiliza a luz natural e enquadramentos expressivos para destacar a esperança e a desilusão dos personagens, criando uma atmosfera que é ao mesmo tempo realista e profundamente evocativa.;A narrativa é uma rica mistura de comédia, drama e crítica social. Explora a vulnerabilidade humana e a ilusão da fama através da jornada de um charlatão, Joe Morelli, e das vidas de camponeses sonhadores. É uma história bem construída, comovente e com um final agridoce.;O filme obteve um bom reconhecimento internacional, incluindo uma indicação ao Oscar de Melhor Filme Estrangeiro e o Grande Prêmio Especial do Júri em Veneza. Isso gerou buzz e aumentou sua visibilidade global para uma produção europeia de arte.;"""O Homem das Estrelas"" conquistou uma boa visibilidade global, impulsionada principalmente pela sua indicação ao Oscar de Melhor Filme Estrangeiro e pelo prêmio no Festival de Veneza. Esses reconhecimentos geraram um buzz importante, permitindo que o filme de Tornatore, mesmo sendo uma produção europeia de arte, alcançasse um público considerável através de sua distribuição e o boca a boca positivo.";Com alta elegibilidade para prêmios e festivais devido à reputação de Tornatore, o filme se beneficiou de um timing oportuno. Sua temática de sonhos e desilusão, ambientada na Sicília pós-guerra, ressoou bem com o público e a crítica da época.;As atuações são excelentes. Sergio Castellitto entrega uma performance magistral como Joe Morelli, equilibrando cinismo e humanidade. Tiziana Lodato é comovente em seu papel ingênuo. O elenco de apoio adiciona autenticidade e riqueza, preenchendo a tela com rostos e vozes que capturam a essência da região e do período.;;;;
;;;;;;;;;;;;;;;;;;
;O Que É Isso, Companheiro?;8.0;8.5;8.0;8.5;8.5;8.5;Drama e Suspense Político;"""O Que É Isso, Companheiro?"" é tecnicamente bem executado. A direção de Bruno Barreto é ágil e busca um ritmo de thriller, mantendo a tensão da história. O roteiro, adaptado da obra de Fernando Gabeira, tenta equilibrar a perspectiva dos sequestradores com a do embaixador, embora por vezes receba críticas por simplificar nuances políticas. As atuações são geralmente sólidas, com destaque para Alan Arkin como o embaixador e Fernanda Montenegro em um papel secundário. A cinematografia consegue recriar o clima da época, e a edição contribui para o ritmo de suspense. O design de produção e figurino são convincentes, transportando o espectador para o final dos anos 60 no Brasil.";A narrativa é baseada em um evento histórico real e altamente polêmico, o que por si só a torna impactante. O filme aborda temas como a ditadura militar no Brasil, a luta armada, o idealismo revolucionário e as consequências da violência política. Sua temática é controversa, pois revisita um período sensível da história brasileira, gerando debates sobre a memória, a justiça e a validade dos métodos de resistência. A história tenta explorar a humanidade dos personagens de ambos os lados do conflito, buscando uma complexidade que nem sempre é totalmente alcançada, mas que ainda assim ressoa por sua relevância histórica e política.;"""O Que É Isso, Companheiro?"" gerou um buzz significativo no Brasil e internacionalmente, principalmente por sua temática polêmica e por ser uma coprodução com nomes internacionais (como Alan Arkin). O filme foi indicado ao Oscar de Melhor Filme Estrangeiro em 1998, o que é o maior reconhecimento e o principal gerador de ""buzz"" para uma produção brasileira. Antes disso, teve uma recepção mista da crítica, mas sua indicação ao Oscar o colocou em evidência globalment";"A campanha de marketing para ""O Que É Isso, Companheiro?"" foi bastante ativa, especialmente impulsionada pela sua indicação ao Oscar. A distribuidora brasileira e seus parceiros internacionais focaram em destacar a relevância histórica da trama, o elenco (com nomes internacionais e brasileiros renomados) e a direção de Bruno Barreto. A controvérsia em torno do tema também serviu como um elemento de marketing, gerando discussões e curiosidade. A estratégia de ""For Your Consideration"" (FYC) visou maximizar a visibilidade junto aos votantes da Academia, enfatizando a relevância política e a qualidade da produção brasileira";O filme cumpriu todos os critérios de elegibilidade da Academia para a categoria de Melhor Filme Estrangeiro, sendo lançado em 1997 e indicado para a cerimônia de 1998. O timing foi favorável, pois, na década de 90, havia um interesse crescente em filmes que revisitassem eventos históricos e políticos controversos de diferentes partes do mundo, especialmente após o fim da Guerra Fria e a redemocratização em muitos países. A história do sequestro de um embaixador americano também tinha um apelo transnacional.;As atuações são um ponto forte do filme. Pedro Cardoso (como Fernando Gabeira/Paulo) e Selton Mello (como César) entregam performances convincentes e emocionalmente carregadas, retratando a juventude idealista e os dilemas morais. Fernanda Torres (como Maria) e Alan Arkin (como o embaixador Elbrick) também se destacam, com Arkin trazendo nuance a um papel complexo. O elenco, no geral, contribui para a imersão na intensidade dos eventos retratados.;;;;
;Caráter (Karakter);9.0;9.0;8.8;8.8;9.0;9.5;Drama;Considerado tecnicamente impecável. A direção de Mike van Diem é precisa e atmosférica, recriando a Roterdã dos anos 20 com maestria. O roteiro é denso e inteligente, explorando uma relação pai-filho complexa. A cinematografia sombria e a direção de arte são excelentes, contribuindo para o tom pesado e dramático.;Narrativa poderosa sobre a luta por identidade, ambição, destino e a influência paterna. A relação tóxica entre pai e filho é central, abordando temas universais de amor, ódio, perdão e autodescoberta. É uma história de grande profundidade psicológica e emocional.;O filme teve um forte buzz e reconhecimento na Holanda e em festivais europeus antes do Oscar. Venceu o prêmio de Melhor Filme Holandês. A complexidade de sua trama e a qualidade de sua produção o colocaram como um forte concorrente;A campanha focou na complexidade da história e na excelência das atuações e da direção. A qualidade da produção holandesa, muitas vezes subestimada, foi um ponto de destaque. A vitória no Oscar demonstra a eficácia do FYC em ressaltar os méritos artísticos do filme.;Cumpriu todos os requisitos de elegibilidade. O timing foi favorável para dramas intensos e psicologicamente complexos que ofereciam uma visão culturalmente específica, mas com apelo universal sobre relações humana;O filme é sustentado por performances magistrais. Fedja van Huêt entrega uma atuação nuanceada e poderosa como Jacob, e Jan Decleir é assombroso como Dreverhaven, o pai, criando uma dinâmica intensa e inesquecível.;;;;
;A Música e o Silêncio (Jenseits der Stille;8.5;9.0;8.0;8.0;8.5;8.8;Drama;Um filme sensível e bem dirigido, com uma cinematografia que capta a beleza dos momentos musicais e a expressividade da língua de sinais. O roteiro é emocionalmente envolvente, e a direção de Caroline Link é sutil e eficaz. A edição e o design de som são cruciais para a temática da música e do silêncio;A narrativa é tocante e universal, explorando a relação familiar, a busca pela identidade, a paixão pela arte e a superação de barreiras de comunicação. O contraste entre o mundo dos ouvintes e dos surdos é abordado com empatia, gerando profunda ressonância emocional.;"Teve um bom reconhecimento na Alemanha e em festivais internacionais. Embora não tenha tido o ""buzz"" de um grande vencedor de festival, sua temática única e a sensibilidade da história geraram uma recepção calorosa da crítica e do público.";A campanha de marketing provavelmente focou na sua natureza inspiradora e na abordagem emocional de uma história familiar única. A qualidade das atuações e a relevância da temática da inclusão foram pontos chave para o FYC;Cumpriu os requisitos de elegibilidade. O timing foi oportuno para histórias que celebravam a superação de desafios e a força dos laços familiares, um apelo frequente em categorias de filmes estrangeiros.;"Sylvie Testud é excelente no papel de Lara, mostrando a complexidade de ser uma ""ponte"" entre dois mundos. As atuações dos atores que interpretam os pais surdos também são muito expressivas e convincentes, dando autenticidade à representação da comunidade surda.";;;;
